Tabelle: 12411_0012
Bevölkerung nach 20 Altersgruppen und Geschlecht ab 1981 (ab;;;;;;
Gemeindeebene);;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;
;;;;Bevölkerung;Bevölkerung;Bevölkerung
;;;;Insgesamt;männlich;weiblich
;;;;Anzahl;Anzahl;Anzahl
31.12.2024;08226068;        Reilingen;unter 3 Jahre;249;126;123
31.12.2024;08226068;        Reilingen;3 bis unter 6 Jahre;258;131;127
31.12.2024;08226068;        Reilingen;6 bis unter  10 Jahre;385;218;167
31.12.2024;08226068;        Reilingen;10 bis unter 15 Jahre;405;209;196
31.12.2024;08226068;        Reilingen;15 bis unter 18 Jahre;228;116;112
31.12.2024;08226068;        Reilingen;18 bis unter 20 Jahre;163;84;79
31.12.2024;08226068;        Reilingen;20 bis unter 25 Jahre;390;221;169
31.12.2024;08226068;        Reilingen;25 bis unter 30 Jahre;416;229;187
31.12.2024;08226068;        Reilingen;30 bis unter 35 Jahre;487;249;238
31.12.2024;08226068;        Reilingen;35 bis unter 40 Jahre;588;302;286
31.12.2024;08226068;        Reilingen;40 bis unter 45 Jahre;631;332;299
31.12.2024;08226068;        Reilingen;45 bis unter 50 Jahre;541;275;266
31.12.2024;08226068;        Reilingen;50 bis unter 55 Jahre;534;251;283
31.12.2024;08226068;        Reilingen;55 bis unter 60 Jahre;669;348;321
31.12.2024;08226068;        Reilingen;60 bis unter 65 Jahre;658;309;349
31.12.2024;08226068;        Reilingen;65 bis unter 70 Jahre;535;262;273
31.12.2024;08226068;        Reilingen;70 bis unter 75 Jahre;414;190;224
31.12.2024;08226068;        Reilingen;75 bis unter 80 Jahre;342;154;188
31.12.2024;08226068;        Reilingen;80 bis unter 85 Jahre;280;127;153
31.12.2024;08226068;        Reilingen;85 Jahre und mehr;231;68;163
31.12.2024;08226068;        Reilingen;Insgesamt;8404;4201;4203
31.12.2023;08226068;        Reilingen;unter 3 Jahre;249;122;127
31.12.2023;08226068;        Reilingen;3 bis unter 6 Jahre;251;137;114
31.12.2023;08226068;        Reilingen;6 bis unter  10 Jahre;373;202;171
31.12.2023;08226068;        Reilingen;10 bis unter 15 Jahre;391;208;183
31.12.2023;08226068;        Reilingen;15 bis unter 18 Jahre;225;112;113
31.12.2023;08226068;        Reilingen;18 bis unter 20 Jahre;181;90;91
31.12.2023;08226068;        Reilingen;20 bis unter 25 Jahre;362;204;158
31.12.2023;08226068;        Reilingen;25 bis unter 30 Jahre;419;226;193
31.12.2023;08226068;        Reilingen;30 bis unter 35 Jahre;496;255;241
31.12.2023;08226068;        Reilingen;35 bis unter 40 Jahre;584;295;289
31.12.2023;08226068;        Reilingen;40 bis unter 45 Jahre;628;323;305
31.12.2023;08226068;        Reilingen;45 bis unter 50 Jahre;512;266;246
31.12.2023;08226068;        Reilingen;50 bis unter 55 Jahre;571;268;303
31.12.2023;08226068;        Reilingen;55 bis unter 60 Jahre;686;357;329
31.12.2023;08226068;        Reilingen;60 bis unter 65 Jahre;629;280;349
31.12.2023;08226068;        Reilingen;65 bis unter 70 Jahre;518;260;258
31.12.2023;08226068;        Reilingen;70 bis unter 75 Jahre;419;191;228
31.12.2023;08226068;        Reilingen;75 bis unter 80 Jahre;332;151;181
31.12.2023;08226068;        Reilingen;80 bis unter 85 Jahre;293;128;165
31.12.2023;08226068;        Reilingen;85 Jahre und mehr;209;65;144
31.12.2023;08226068;        Reilingen;Insgesamt;8328;4140;4188
31.12.2022;08226068;        Reilingen;unter 3 Jahre;263;133;130
31.12.2022;08226068;        Reilingen;3 bis unter 6 Jahre;261;148;113
31.12.2022;08226068;        Reilingen;6 bis unter  10 Jahre;345;177;168
31.12.2022;08226068;        Reilingen;10 bis unter 15 Jahre;384;205;179
31.12.2022;08226068;        Reilingen;15 bis unter 18 Jahre;221;104;117
31.12.2022;08226068;        Reilingen;18 bis unter 20 Jahre;139;67;72
31.12.2022;08226068;        Reilingen;20 bis unter 25 Jahre;334;179;155
31.12.2022;08226068;        Reilingen;25 bis unter 30 Jahre;396;210;186
31.12.2022;08226068;        Reilingen;30 bis unter 35 Jahre;510;251;259
31.12.2022;08226068;        Reilingen;35 bis unter 40 Jahre;573;295;278
31.12.2022;08226068;        Reilingen;40 bis unter 45 Jahre;606;312;294
31.12.2022;08226068;        Reilingen;45 bis unter 50 Jahre;488;252;236
31.12.2022;08226068;        Reilingen;50 bis unter 55 Jahre;615;298;317
31.12.2022;08226068;        Reilingen;55 bis unter 60 Jahre;665;331;334
31.12.2022;08226068;        Reilingen;60 bis unter 65 Jahre;627;289;338
31.12.2022;08226068;        Reilingen;65 bis unter 70 Jahre;477;234;243
31.12.2022;08226068;        Reilingen;70 bis unter 75 Jahre;427;199;228
31.12.2022;08226068;        Reilingen;75 bis unter 80 Jahre;305;145;160
31.12.2022;08226068;        Reilingen;80 bis unter 85 Jahre;301;135;166
31.12.2022;08226068;        Reilingen;85 Jahre und mehr;198;60;138
31.12.2022;08226068;        Reilingen;Insgesamt;8135;4024;4111
31.12.2021;08226068;        Reilingen;unter 3 Jahre;241;130;111
31.12.2021;08226068;        Reilingen;3 bis unter 6 Jahre;274;162;112
31.12.2021;08226068;        Reilingen;6 bis unter  10 Jahre;308;148;160
31.12.2021;08226068;        Reilingen;10 bis unter 15 Jahre;367;200;167
31.12.2021;08226068;        Reilingen;15 bis unter 18 Jahre;218;110;108
31.12.2021;08226068;        Reilingen;18 bis unter 20 Jahre;130;61;69
31.12.2021;08226068;        Reilingen;20 bis unter 25 Jahre;394;208;186
31.12.2021;08226068;        Reilingen;25 bis unter 30 Jahre;404;207;197
31.12.2021;08226068;        Reilingen;30 bis unter 35 Jahre;542;272;270
31.12.2021;08226068;        Reilingen;35 bis unter 40 Jahre;554;273;281
31.12.2021;08226068;        Reilingen;40 bis unter 45 Jahre;572;296;276
31.12.2021;08226068;        Reilingen;45 bis unter 50 Jahre;489;243;246
31.12.2021;08226068;        Reilingen;50 bis unter 55 Jahre;657;335;322
31.12.2021;08226068;        Reilingen;55 bis unter 60 Jahre;644;336;308
31.12.2021;08226068;        Reilingen;60 bis unter 65 Jahre;606;294;312
31.12.2021;08226068;        Reilingen;65 bis unter 70 Jahre;465;224;241
31.12.2021;08226068;        Reilingen;70 bis unter 75 Jahre;422;199;223
31.12.2021;08226068;        Reilingen;75 bis unter 80 Jahre;304;144;160
31.12.2021;08226068;        Reilingen;80 bis unter 85 Jahre;306;140;166
31.12.2021;08226068;        Reilingen;85 Jahre und mehr;178;55;123
31.12.2021;08226068;        Reilingen;Insgesamt;8075;4037;4038
31.12.2020;08226068;        Reilingen;unter 3 Jahre;234;132;102
31.12.2020;08226068;        Reilingen;3 bis unter 6 Jahre;271;146;125
31.12.2020;08226068;        Reilingen;6 bis unter  10 Jahre;281;143;138
31.12.2020;08226068;        Reilingen;10 bis unter 15 Jahre;338;171;167
31.12.2020;08226068;        Reilingen;15 bis unter 18 Jahre;213;110;103
31.12.2020;08226068;        Reilingen;18 bis unter 20 Jahre;144;68;76
31.12.2020;08226068;        Reilingen;20 bis unter 25 Jahre;380;199;181
31.12.2020;08226068;        Reilingen;25 bis unter 30 Jahre;402;203;199
31.12.2020;08226068;        Reilingen;30 bis unter 35 Jahre;508;255;253
31.12.2020;08226068;        Reilingen;35 bis unter 40 Jahre;557;287;270
31.12.2020;08226068;        Reilingen;40 bis unter 45 Jahre;535;275;260
31.12.2020;08226068;        Reilingen;45 bis unter 50 Jahre;475;242;233
31.12.2020;08226068;        Reilingen;50 bis unter 55 Jahre;660;345;315
31.12.2020;08226068;        Reilingen;55 bis unter 60 Jahre;653;332;321
31.12.2020;08226068;        Reilingen;60 bis unter 65 Jahre;563;286;277
31.12.2020;08226068;        Reilingen;65 bis unter 70 Jahre;446;213;233
31.12.2020;08226068;        Reilingen;70 bis unter 75 Jahre;404;189;215
31.12.2020;08226068;        Reilingen;75 bis unter 80 Jahre;323;159;164
31.12.2020;08226068;        Reilingen;80 bis unter 85 Jahre;283;119;164
31.12.2020;08226068;        Reilingen;85 Jahre und mehr;154;54;100
31.12.2020;08226068;        Reilingen;Insgesamt;7824;3928;3896
31.12.2015;08226068;        Reilingen;unter 3 Jahre;200;98;102
31.12.2015;08226068;        Reilingen;3 bis unter 6 Jahre;210;123;87
31.12.2015;08226068;        Reilingen;6 bis unter  10 Jahre;257;130;127
31.12.2015;08226068;        Reilingen;10 bis unter 15 Jahre;345;181;164
31.12.2015;08226068;        Reilingen;15 bis unter 18 Jahre;243;124;119
31.12.2015;08226068;        Reilingen;18 bis unter 20 Jahre;176;89;87
31.12.2015;08226068;        Reilingen;20 bis unter 25 Jahre;382;207;175
31.12.2015;08226068;        Reilingen;25 bis unter 30 Jahre;408;206;202
31.12.2015;08226068;        Reilingen;30 bis unter 35 Jahre;439;227;212
31.12.2015;08226068;        Reilingen;35 bis unter 40 Jahre;487;252;235
31.12.2015;08226068;        Reilingen;40 bis unter 45 Jahre;473;237;236
31.12.2015;08226068;        Reilingen;45 bis unter 50 Jahre;657;340;317
31.12.2015;08226068;        Reilingen;50 bis unter 55 Jahre;643;328;315
31.12.2015;08226068;        Reilingen;55 bis unter 60 Jahre;585;297;288
31.12.2015;08226068;        Reilingen;60 bis unter 65 Jahre;462;225;237
31.12.2015;08226068;        Reilingen;65 bis unter 70 Jahre;426;194;232
31.12.2015;08226068;        Reilingen;70 bis unter 75 Jahre;361;187;174
31.12.2015;08226068;        Reilingen;75 bis unter 80 Jahre;342;148;194
31.12.2015;08226068;        Reilingen;80 bis unter 85 Jahre;195;79;116
31.12.2015;08226068;        Reilingen;85 Jahre und mehr;146;43;103
31.12.2015;08226068;        Reilingen;Insgesamt;7437;3715;3722
31.12.2010;08226068;        Reilingen;unter 3 Jahre;169;79;90
31.12.2010;08226068;        Reilingen;3 bis unter 6 Jahre;179;89;90
31.12.2010;08226068;        Reilingen;6 bis unter  10 Jahre;247;119;128
31.12.2010;08226068;        Reilingen;10 bis unter 15 Jahre;388;195;193
31.12.2010;08226068;        Reilingen;15 bis unter 18 Jahre;225;120;105
31.12.2010;08226068;        Reilingen;18 bis unter 20 Jahre;166;87;79
31.12.2010;08226068;        Reilingen;20 bis unter 25 Jahre;375;181;194
31.12.2010;08226068;        Reilingen;25 bis unter 30 Jahre;378;203;175
31.12.2010;08226068;        Reilingen;30 bis unter 35 Jahre;398;195;203
31.12.2010;08226068;        Reilingen;35 bis unter 40 Jahre;450;226;224
31.12.2010;08226068;        Reilingen;40 bis unter 45 Jahre;618;300;318
31.12.2010;08226068;        Reilingen;45 bis unter 50 Jahre;688;353;335
31.12.2010;08226068;        Reilingen;50 bis unter 55 Jahre;584;303;281
31.12.2010;08226068;        Reilingen;55 bis unter 60 Jahre;481;243;238
31.12.2010;08226068;        Reilingen;60 bis unter 65 Jahre;442;207;235
31.12.2010;08226068;        Reilingen;65 bis unter 70 Jahre;393;211;182
31.12.2010;08226068;        Reilingen;70 bis unter 75 Jahre;383;179;204
31.12.2010;08226068;        Reilingen;75 bis unter 80 Jahre;244;103;141
31.12.2010;08226068;        Reilingen;80 bis unter 85 Jahre;173;72;101
31.12.2010;08226068;        Reilingen;85 Jahre und mehr;158;38;120
31.12.2010;08226068;        Reilingen;Insgesamt;7139;3503;3636
31.12.2005;08226068;        Reilingen;unter 3 Jahre;178;93;85
31.12.2005;08226068;        Reilingen;3 bis unter 6 Jahre;198;99;99
31.12.2005;08226068;        Reilingen;6 bis unter  10 Jahre;315;158;157
31.12.2005;08226068;        Reilingen;10 bis unter 15 Jahre;397;212;185
31.12.2005;08226068;        Reilingen;15 bis unter 18 Jahre;251;117;134
31.12.2005;08226068;        Reilingen;18 bis unter 20 Jahre;149;69;80
31.12.2005;08226068;        Reilingen;20 bis unter 25 Jahre;388;196;192
31.12.2005;08226068;        Reilingen;25 bis unter 30 Jahre;367;181;186
31.12.2005;08226068;        Reilingen;30 bis unter 35 Jahre;399;193;206
31.12.2005;08226068;        Reilingen;35 bis unter 40 Jahre;590;283;307
31.12.2005;08226068;        Reilingen;40 bis unter 45 Jahre;676;353;323
31.12.2005;08226068;        Reilingen;45 bis unter 50 Jahre;585;302;283
31.12.2005;08226068;        Reilingen;50 bis unter 55 Jahre;480;243;237
31.12.2005;08226068;        Reilingen;55 bis unter 60 Jahre;463;219;244
31.12.2005;08226068;        Reilingen;60 bis unter 65 Jahre;416;227;189
31.12.2005;08226068;        Reilingen;65 bis unter 70 Jahre;429;207;222
31.12.2005;08226068;        Reilingen;70 bis unter 75 Jahre;305;134;171
31.12.2005;08226068;        Reilingen;75 bis unter 80 Jahre;225;95;130
31.12.2005;08226068;        Reilingen;80 bis unter 85 Jahre;192;65;127
31.12.2005;08226068;        Reilingen;85 Jahre und mehr;100;20;80
31.12.2005;08226068;        Reilingen;Insgesamt;7103;3466;3637
31.12.2000;08226068;        Reilingen;unter 3 Jahre;200;97;103
31.12.2000;08226068;        Reilingen;3 bis unter 6 Jahre;232;114;118
31.12.2000;08226068;        Reilingen;6 bis unter  10 Jahre;310;162;148
31.12.2000;08226068;        Reilingen;10 bis unter 15 Jahre;390;192;198
31.12.2000;08226068;        Reilingen;15 bis unter 18 Jahre;236;131;105
31.12.2000;08226068;        Reilingen;18 bis unter 20 Jahre;170;77;93
31.12.2000;08226068;        Reilingen;20 bis unter 25 Jahre;343;176;167
31.12.2000;08226068;        Reilingen;25 bis unter 30 Jahre;356;180;176
31.12.2000;08226068;        Reilingen;30 bis unter 35 Jahre;526;256;270
31.12.2000;08226068;        Reilingen;35 bis unter 40 Jahre;647;339;308
31.12.2000;08226068;        Reilingen;40 bis unter 45 Jahre;586;307;279
31.12.2000;08226068;        Reilingen;45 bis unter 50 Jahre;487;250;237
31.12.2000;08226068;        Reilingen;50 bis unter 55 Jahre;476;233;243
31.12.2000;08226068;        Reilingen;55 bis unter 60 Jahre;434;234;200
31.12.2000;08226068;        Reilingen;60 bis unter 65 Jahre;463;231;232
31.12.2000;08226068;        Reilingen;65 bis unter 70 Jahre;344;166;178
31.12.2000;08226068;        Reilingen;70 bis unter 75 Jahre;282;126;156
31.12.2000;08226068;        Reilingen;75 bis unter 80 Jahre;231;80;151
31.12.2000;08226068;        Reilingen;80 bis unter 85 Jahre;90;23;67
31.12.2000;08226068;        Reilingen;85 Jahre und mehr;109;26;83
31.12.2000;08226068;        Reilingen;Insgesamt;6912;3400;3512
31.12.1995;08226068;        Reilingen;unter 3 Jahre;221;117;104
31.12.1995;08226068;        Reilingen;3 bis unter 6 Jahre;252;128;124
31.12.1995;08226068;        Reilingen;6 bis unter  10 Jahre;325;155;170
31.12.1995;08226068;        Reilingen;10 bis unter 15 Jahre;406;210;196
31.12.1995;08226068;        Reilingen;15 bis unter 18 Jahre;221;117;104
31.12.1995;08226068;        Reilingen;18 bis unter 20 Jahre;153;71;82
31.12.1995;08226068;        Reilingen;20 bis unter 25 Jahre;407;209;198
31.12.1995;08226068;        Reilingen;25 bis unter 30 Jahre;553;263;290
31.12.1995;08226068;        Reilingen;30 bis unter 35 Jahre;628;324;304
31.12.1995;08226068;        Reilingen;35 bis unter 40 Jahre;582;309;273
31.12.1995;08226068;        Reilingen;40 bis unter 45 Jahre;517;263;254
31.12.1995;08226068;        Reilingen;45 bis unter 50 Jahre;507;247;260
31.12.1995;08226068;        Reilingen;50 bis unter 55 Jahre;439;237;202
31.12.1995;08226068;        Reilingen;55 bis unter 60 Jahre;480;239;241
31.12.1995;08226068;        Reilingen;60 bis unter 65 Jahre;374;190;184
31.12.1995;08226068;        Reilingen;65 bis unter 70 Jahre;334;161;173
31.12.1995;08226068;        Reilingen;70 bis unter 75 Jahre;270;106;164
31.12.1995;08226068;        Reilingen;75 bis unter 80 Jahre;125;44;81
31.12.1995;08226068;        Reilingen;80 bis unter 85 Jahre;107;33;74
31.12.1995;08226068;        Reilingen;85 Jahre und mehr;79;21;58
31.12.1995;08226068;        Reilingen;Insgesamt;6980;3444;3536
__________
"Fortschreibung des Bevölkerungsstandes bis 2010 Basis VZ87,
2011-2021 Basis Zensus 2011, ab 2022 Basis Zensus 2022 .
Aufgrund der unterschiedlichen Fortschreibungsbasis ist der
Vergleich zwischen 2011 und 2010 und 2021 und 2022 nur
eingeschränkt aussagekräftig."
© Statistisches Landesamt Baden-Württemberg, Fellbach 2026
Stand: 17.02.2026 / 09:45:09
