Tabelle: 12711_0012
Fortzüge über die Gemeindegrenze nach Altersgruppen seit 2011;;;;;;;;
Wanderungsstatistik;;;;;;;;
;;Altersgruppen (unter 18 bis 65 und mehr);Altersgruppen (unter 18 bis 65 und mehr);Altersgruppen (unter 18 bis 65 und mehr);Altersgruppen (unter 18 bis 65 und mehr);Altersgruppen (unter 18 bis 65 und mehr);Altersgruppen (unter 18 bis 65 und mehr);Altersgruppen (unter 18 bis 65 und mehr)
;;Insgesamt;unter 18 Jahre;18 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 50 Jahre;50 bis unter 65 Jahre;65 Jahre und mehr
;;Fortzüge;Fortzüge;Fortzüge;Fortzüge;Fortzüge;Fortzüge;Fortzüge
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
Reilingen;2024;761;131;113;104;265;103;45
Reilingen;2023;908;178;130;138;332;92;38
Reilingen;2022;968;138;126;124;424;121;35
Reilingen;2021;631;72;102;83;263;90;21
Reilingen;2020;721;75;108;118;297;85;38
Reilingen;2019;1045;72;152;139;526;108;48
Reilingen;2018;725;80;110;119;292;81;43
Reilingen;2017;839;117;112;135;378;74;23
Reilingen;2016;1205;116;158;186;604;123;18
Reilingen;2015;792;84;96;120;358;100;34
Reilingen;2014;965;72;140;153;488;81;31
Reilingen;2013;970;68;129;156;468;113;36
Reilingen;2012;1196;65;175;183;635;104;34
Reilingen;2011;737;44;116;142;349;67;19
__________
© Statistisches Landesamt Baden-Württemberg, Fellbach 2026
Stand: 17.02.2026 / 10:54:56
